#	value_id	factor	type	 text
1	4:11	addition	7
1	4:8,7:22	output	8块钱
1	4:8,7:23	output	12块钱
1	4:8,7:24	output	24块钱
7	5:12,6:14	assign	4:8
7	5:12,6:15	assign	4:8
7	5:12,6:16	assign	4:9
7	5:12,6:17	assign	4:10
7	5:12,6:18	assign	4:10
2	8:26	output	现在可以寄存的，晚上11点关门。
2	8:27	output	现在还不能寄存，早上5点开门。
2	8:28	output	现在可以存，但马上到11点就关门了，您需要寄存服务要抓紧哦。
2	8:29	output	现在还不能存，不过马上到5点就开门了。
3	9:19	output	T1航站楼的行李寄存处在国内出发大厅6、7号门之间1处（服务电话028-85206200 ）
3	9:20	output	T2航站楼的行李寄存处在N、P值机岛后侧各1处（服务电话028-85207220 ）
4	*	output	可以的，双流机场两个航站楼都有寄存点
6	8:26,9:19	output	好的，一号航站楼的寄存处在国内出发大厅6、7号门之间，现在是工作时间，您带着行李直接过去就行了
6	8:26,9:20	output	好的，二号航站楼的寄存处在N、P值机岛后侧，现在是工作时间，您带着行李直接过去就行了
6	8:28,9:0	output	很抱歉，现在寄存处关门了，要凌晨5点才开门。
6	8:28,9:19	output	好的，一号航站楼的寄存处在国内出发大厅6、7号门之间，现在是工作时间，您带着行李直接过去就行了
6	8:28,9:20	output	好的，一号航站楼的寄存处在国内出发大厅6、7号门之间，现在是工作时间，您带着行李直接过去就行了
6	8:29,9:20	output	好的，一号航站楼的寄存处在国内出发大厅6、7号门之间，现在是工作时间，您带着行李直接过去就行了
33	19:36,20:39,21:42	output	50元
33	19:37,20:39,21:42	output	55元
33	19:38,20:39,21:42	output	60元
34	9:19	output	打包行李时间为每日首次航班起飞前2个半小时—当日最后一个航班起飞前30分钟
34	9:20	output	打包行李时间为每日首次航班起飞前2个半小时—当日最后一个航班起飞前30分钟
30	9:19	output	T1航站楼在国内航班出发大厅B、C指廊值机大厅入口和国际航班出发大厅入口分别设有行李封包处。
30	9:20	output	T2航站楼在值机大厅五个入口各设置一处行李封包处。
32	*	output	可以的，双流机场两个航站楼都有打包点。
31	9:19	output	T1航站楼行李打包处服务电话为028-85206200
31	9:20	output	T2航站楼行李打包处服务电话为028-85207220
35	9:19	output	好的，T1航站楼在国内航班出发大厅B、C指廊值机大厅入口和国际航班出发大厅入口分别设有行李封包处。
35	9:20	output	好的，T2航站楼在值机大厅五个入口各设置一处行李封包处。
43	13:48,9:19,15:100,14:49	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:50	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:51	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:52	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:53	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:54	output	您好，请前往11-26号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:55	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:56	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:57	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:58	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:59	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:60	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:61	output	您好，请前往11-27号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:62	output	您好，请前往1-8号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:63	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:64	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:65	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:66	output	您好，请前往27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:67	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:68	output	您好，请前往08-10/27-37号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
43	13:48,9:19,15:100,14:69	output	您好，请前往08-10/27-28/42/43号值机柜台办理行李托运、机位预订、登机牌打印等相关手续。
